file_name,split,max_conf,n_box
win-Arecibo-Observatory-20230508-123000.npy,train,0.175,1
win-Arecibo-Observatory-20220330-134501.npy,val,0.167,2
win-Arecibo-Observatory-20230219-140001.npy,train,0.133,1
win-Arecibo-Observatory-20230708-144501.npy,train,0.119,1
win-Arecibo-Observatory-20220721-163000.npy,train,0.119,1
win-Arecibo-Observatory-20220826-150001.npy,train,0.118,1
win-Arecibo-Observatory-20230519-154501.npy,train,0.118,1
win-Arecibo-Observatory-20230715-171459.npy,train,0.116,1
win-Arecibo-Observatory-20230711-181459.npy,train,0.115,1
win-Arecibo-Observatory-20220420-123000.npy,val,0.114,2
win-Arecibo-Observatory-20220911-161501.npy,train,0.114,1
win-Arecibo-Observatory-20230623-164500.npy,train,0.114,1
win-Arecibo-Observatory-20230319-174500.npy,train,0.113,1
win-Arecibo-Observatory-20220817-141501.npy,train,0.112,1
win-Arecibo-Observatory-20230429-184501.npy,train,0.112,1
win-Arecibo-Observatory-20230210-182959.npy,train,0.109,1
win-Arecibo-Observatory-20221112-174459.npy,train,0.109,1
win-Arecibo-Observatory-20221207-194500.npy,train,0.109,1
win-Arecibo-Observatory-20221222-193001.npy,train,0.106,1
win-Arecibo-Observatory-20220205-175959.npy,val,0.106,1
win-Arecibo-Observatory-20230715-144500.npy,train,0.105,1
win-Arecibo-Observatory-20220307-151501.npy,train,0.105,1
win-Arecibo-Observatory-20221222-184500.npy,train,0.104,1
win-Arecibo-Observatory-20230226-160001.npy,train,0.104,1
win-Arecibo-Observatory-20221224-144500.npy,train,0.102,1
win-Arecibo-Observatory-20230723-114500.npy,train,0.101,1
win-Arecibo-Observatory-20230430-161501.npy,train,0.1,1
