file_name,date,location,type,event_start_time,event_end_time,box_start_time,box_end_time,box_start_col,box_end_col,time_source,review_status,uncertain,clipped
win-Arecibo-Observatory-20230505-184500.npy,20230505,Arecibo-Observatory,III,18:46:38,18:48:29,18:46:38,18:48:29,392,836,gap_manual,usable,False,False
win-Arecibo-Observatory-20230715-141500.npy,20230715,Arecibo-Observatory,III,14:22:51,14:29:25,14:22:51,14:29:25,1884,3460,gap_manual,usable,False,False
win-Arecibo-Observatory-20221012-141501.npy,20221012,Arecibo-Observatory,III,14:18:03,14:19:24,14:18:03,14:19:24,728,1052,gap_manual,usable,False,False
win-Arecibo-Observatory-20230714-161501.npy,20230714,Arecibo-Observatory,III,16:26:23,16:29:56,16:26:23,16:29:56,2728,3580,gap_manual,usable,False,False
win-Arecibo-Observatory-20230508-184500.npy,20230508,Arecibo-Observatory,III,18:49:26,18:50:14,18:49:26,18:50:14,1064,1256,gap_manual,usable,False,False
win-Arecibo-Observatory-20220521-143001.npy,20220521,Arecibo-Observatory,III,14:31:04,14:40:32,14:31:04,14:40:32,252,2524,gap_manual,usable,False,False
win-Arecibo-Observatory-20230714-163000.npy,20230714,Arecibo-Observatory,III,16:30:03,16:32:18,16:30:03,16:32:18,12,552,gap_manual,usable,False,False
win-Arecibo-Observatory-20220703-154501.npy,20220703,Arecibo-Observatory,III,15:49:44,15:52:32,15:49:44,15:52:32,1132,1804,gap_manual,usable,False,False
win-Arecibo-Observatory-20220918-150001.npy,20220918,Arecibo-Observatory,III,15:06:33,15:09:27,15:06:33,15:09:27,1568,2264,gap_manual,usable,False,False
win-Arecibo-Observatory-20220817-144501.npy,20220817,Arecibo-Observatory,III,14:51:12,14:52:47,14:51:12,14:52:47,1484,1864,gap_manual,usable,False,False
win-Arecibo-Observatory-20230508-141501.npy,20230508,Arecibo-Observatory,III,14:16:43,14:19:20,14:16:43,14:19:20,408,1036,gap_manual,usable,False,False
win-Arecibo-Observatory-20220516-182959.npy,20220516,Arecibo-Observatory,III,18:41:14,18:42:02,18:41:14,18:42:02,2700,2892,gap_manual,usable,False,False
win-Arecibo-Observatory-20230715-194500.npy,20230715,Arecibo-Observatory,III,19:48:57,19:50:35,19:48:57,19:50:35,948,1340,gap_manual,usable,False,False
win-Arecibo-Observatory-20230226-174459.npy,20230226,Arecibo-Observatory,III,17:47:17,17:49:24,17:47:17,17:49:24,552,1060,gap_manual,usable,False,False
win-Arecibo-Observatory-20230709-131500.npy,20230709,Arecibo-Observatory,III,13:16:08,13:17:17,13:16:08,13:17:17,272,548,gap_manual,usable,False,False
win-Arecibo-Observatory-20230711-192959.npy,20230711,Arecibo-Observatory,III,19:30:02,19:44:46,19:30:02,19:44:46,12,3548,gap_manual,usable,False,False
