file_name,date,location,start_time,end_time,type,event_start_time,event_end_time,other_stations,uncertain,freq_min_mhz,freq_max_mhz,n_freq_channels,sample_interval_s
gap0001-win-Arecibo-Observatory-20230505-184500.npy,20230505,Arecibo-Observatory,18:45:00,19:00:00,gap,18:45:08.2,18:48:51.3,,False,15.0,86.625,200,0.25
gap0002-win-Arecibo-Observatory-20230715-141500.npy,20230715,Arecibo-Observatory,14:15:00,14:30:00,gap,14:15:06.3,14:16:47.3,,False,15.0,86.625,200,0.25
gap0003-win-Arecibo-Observatory-20221012-141501.npy,20221012,Arecibo-Observatory,14:15:01,14:30:01,gap,14:18:05.8,14:20:16.2,,False,15.0,86.625,200,0.25
gap0004-win-Arecibo-Observatory-20230714-161501.npy,20230714,Arecibo-Observatory,16:15:01,16:30:01,gap,16:26:10.6,16:30:00.9,,False,15.0,86.625,200,0.25
gap0005-win-Arecibo-Observatory-20230508-184500.npy,20230508,Arecibo-Observatory,18:45:00,19:00:00,gap,18:49:14.6,18:50:22.7,,False,15.0,86.625,200,0.25
gap0006-win-Arecibo-Observatory-20220521-143001.npy,20220521,Arecibo-Observatory,14:30:01,14:45:01,gap,14:30:35.1,14:35:03,,False,15.0,86.625,200,0.25
gap0007-win-Arecibo-Observatory-20230714-163000.npy,20230714,Arecibo-Observatory,16:30:00,16:45:00,gap,16:30:02.8,16:32:43.1,,False,15.0,86.625,200,0.25
gap0008-win-Arecibo-Observatory-20220703-154501.npy,20220703,Arecibo-Observatory,15:45:01,16:00:01,gap,15:46:05.3,15:50:11.8,,False,15.0,86.625,200,0.25
gap0009-win-Arecibo-Observatory-20220918-150001.npy,20220918,Arecibo-Observatory,15:00:01,15:15:01,gap,15:06:17.2,15:10:10.2,,False,15.0,86.625,200,0.25
gap0010-win-Arecibo-Observatory-20220817-144501.npy,20220817,Arecibo-Observatory,14:45:01,15:00:01,gap,14:50:27,14:52:47.9,,False,15.0,86.625,200,0.25
gap0011-win-Arecibo-Observatory-20230508-141501.npy,20230508,Arecibo-Observatory,14:15:01,14:30:01,gap,14:17:00.1,14:19:25.3,,False,15.0,86.625,200,0.25
gap0012-win-Arecibo-Observatory-20220516-182959.npy,20220516,Arecibo-Observatory,18:29:59,18:44:59,gap,18:40:54.5,18:42:09.3,,False,15.0,86.625,200,0.25
gap0013-win-Arecibo-Observatory-20230715-194500.npy,20230715,Arecibo-Observatory,19:45:00,20:00:00,gap,19:48:45.6,19:50:42.5,,False,15.0,86.625,200,0.25
gap0014-win-Arecibo-Observatory-20230226-174459.npy,20230226,Arecibo-Observatory,17:44:59,17:59:59,gap,17:47:21.4,17:49:30.4,,False,15.0,86.625,200,0.25
gap0015-win-Arecibo-Observatory-20230709-131500.npy,20230709,Arecibo-Observatory,13:15:00,13:30:00,gap,13:15:55.7,13:17:25.4,,False,15.0,86.625,200,0.25
gap0016-win-Arecibo-Observatory-20230711-192959.npy,20230711,Arecibo-Observatory,19:29:59,19:44:59,gap,19:29:59,19:37:06.7,,False,15.0,86.625,200,0.25
gap0017-win-Arecibo-Observatory-20230714-184500.npy,20230714,Arecibo-Observatory,18:45:00,19:00:00,gap,18:45:03.2,18:46:44.4,,False,15.0,86.625,200,0.25
gap0018-win-Arecibo-Observatory-20230519-150001.npy,20230519,Arecibo-Observatory,15:00:01,15:15:01,gap,15:05:23.5,15:06:24.7,,False,15.0,86.625,200,0.25
gap0019-win-Arecibo-Observatory-20230505-124500.npy,20230505,Arecibo-Observatory,12:45:00,13:00:00,gap,12:47:24.5,12:48:16.4,,False,15.0,86.625,200,0.25
gap0020-win-Arecibo-Observatory-20230217-151501.npy,20230217,Arecibo-Observatory,15:15:01,15:30:01,gap,15:15:33.3,15:16:34.3,,False,15.0,86.625,200,0.25
gap0021-win-Arecibo-Observatory-20220130-192959.npy,20220130,Arecibo-Observatory,19:29:59,19:44:59,gap,19:33:02.4,19:34:37,,False,15.0,86.625,200,0.25
gap0022-win-Arecibo-Observatory-20230209-133001.npy,20230209,Arecibo-Observatory,13:30:01,13:45:01,gap,13:37:06.2,13:37:26.9,,False,15.0,86.625,200,0.25
gap0023-win-Arecibo-Observatory-20230711-141500.npy,20230711,Arecibo-Observatory,14:15:00,14:30:00,gap,14:15:04.6,14:22:16.9,,False,15.0,86.625,200,0.25
gap0024-win-Arecibo-Observatory-20230509-150001.npy,20230509,Arecibo-Observatory,15:00:01,15:15:01,gap,15:06:23.9,15:07:42.9,,False,15.0,86.625,200,0.25
gap0025-win-Arecibo-Observatory-20230511-181500.npy,20230511,Arecibo-Observatory,18:15:00,18:30:00,gap,18:17:26.7,18:18:36.2,,False,15.0,86.625,200,0.25
gap0026-win-Arecibo-Observatory-20220703-164500.npy,20220703,Arecibo-Observatory,16:45:00,17:00:00,gap,16:45:22.6,16:46:13.3,,False,15.0,86.625,200,0.25
gap0027-win-Arecibo-Observatory-20220528-164459.npy,20220528,Arecibo-Observatory,16:44:59,16:59:59,gap,16:54:03.3,16:54:56.4,,False,15.0,86.625,200,0.25
gap0028-win-Arecibo-Observatory-20230714-163000.npy,20230714,Arecibo-Observatory,16:30:00,16:45:00,gap,16:40:51.9,16:42:35.7,,False,15.0,86.625,200,0.25
gap0029-win-Arecibo-Observatory-20230623-150001.npy,20230623,Arecibo-Observatory,15:00:01,15:15:01,gap,15:07:05.1,15:08:02.7,,False,15.0,86.625,200,0.25
gap0030-win-Arecibo-Observatory-20230709-151501.npy,20230709,Arecibo-Observatory,15:15:01,15:30:01,gap,15:18:37.5,15:24:09.9,,False,15.0,86.625,200,0.25
gap0031-win-Arecibo-Observatory-20230623-150001.npy,20230623,Arecibo-Observatory,15:00:01,15:15:01,gap,15:01:54.7,15:02:44.8,,False,15.0,86.625,200,0.25
gap0032-win-Arecibo-Observatory-20220722-160001.npy,20220722,Arecibo-Observatory,16:00:01,16:15:01,gap,16:01:22.6,16:04:08.3,,False,15.0,86.625,200,0.25
gap0033-win-Arecibo-Observatory-20220703-143001.npy,20220703,Arecibo-Observatory,14:30:01,14:45:01,gap,14:36:25.4,14:39:10.8,,False,15.0,86.625,200,0.25
gap0034-win-Arecibo-Observatory-20230510-154255.npy,20230510,Arecibo-Observatory,15:42:55,15:57:55,gap,15:53:03.2,15:53:20,,False,15.0,86.625,200,0.25
gap0035-win-Arecibo-Observatory-20230509-154501.npy,20230509,Arecibo-Observatory,15:45:01,16:00:01,gap,15:45:03.3,15:47:17.4,,False,15.0,86.625,200,0.25
gap0036-win-Arecibo-Observatory-20220505-134501.npy,20220505,Arecibo-Observatory,13:45:01,14:00:01,gap,13:48:55,13:49:16.5,,False,15.0,86.625,200,0.25
gap0037-win-Arecibo-Observatory-20221012-143001.npy,20221012,Arecibo-Observatory,14:30:01,14:45:01,gap,14:35:46.4,14:36:33.2,,False,15.0,86.625,200,0.25
gap0038-win-Arecibo-Observatory-20220703-184459.npy,20220703,Arecibo-Observatory,18:44:59,18:59:59,gap,18:53:09.7,18:53:47.8,,False,15.0,86.625,200,0.25
gap0039-win-Arecibo-Observatory-20220530-150001.npy,20220530,Arecibo-Observatory,15:00:01,15:15:01,gap,15:11:10.5,15:11:43.4,,False,15.0,86.625,200,0.25
gap0040-win-Arecibo-Observatory-20230715-121500.npy,20230715,Arecibo-Observatory,12:15:00,12:30:00,gap,12:21:13,12:21:37.7,,False,15.0,86.625,200,0.25
gap0041-win-Arecibo-Observatory-20230323-184500.npy,20230323,Arecibo-Observatory,18:45:00,19:00:00,gap,18:55:08.6,18:55:26,,False,15.0,86.625,200,0.25
gap0042-win-Arecibo-Observatory-20220331-171459.npy,20220331,Arecibo-Observatory,17:14:59,17:29:59,gap,17:18:14.3,17:20:22.7,,False,15.0,86.625,200,0.25
gap0043-win-Arecibo-Observatory-20230711-182959.npy,20230711,Arecibo-Observatory,18:29:59,18:44:59,gap,18:31:22.2,18:32:15.9,,False,15.0,86.625,200,0.25
