file_name,date,location,win_start_time,n_cols,n_freq_channels,sample_interval_s,freq_min_mhz,freq_max_mhz,n_boxes
own-PeachMountian-240330-74.npy,240330,PeachMountian,18:30:00,2661,411,0.338219,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240417-80.npy,240417,SkylineHighSchool,20:00:00,8982,411,0.1002,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-64.npy,240419,MarquetteSeniorHig,16:00:00,9001,411,0.099989,15.996000289916992,24.003999710083008,2
own-MarquetteSeniorHig-240419-65.npy,240419,MarquetteSeniorHig,16:15:00,9000,411,0.1,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-66.npy,240419,MarquetteSeniorHig,16:30:00,9000,411,0.1,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-67.npy,240419,MarquetteSeniorHig,16:45:00,9001,411,0.099989,15.996000289916992,24.003999710083008,2
own-MarquetteSeniorHig-240419-68.npy,240419,MarquetteSeniorHig,17:00:00,9000,411,0.1,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-69.npy,240419,MarquetteSeniorHig,17:15:00,9000,411,0.1,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-72.npy,240419,MarquetteSeniorHig,18:00:00,9000,411,0.1,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-75.npy,240419,MarquetteSeniorHig,18:45:00,9000,411,0.1,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-76.npy,240419,MarquetteSeniorHig,19:00:00,9000,411,0.1,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240419-77.npy,240419,MarquetteSeniorHig,19:15:00,7991,411,0.112627,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240420-62.npy,240420,SkylineHighSchool,15:30:00,8979,411,0.100234,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240420-65.npy,240420,SkylineHighSchool,16:15:00,8979,411,0.100234,15.996000289916992,24.003999710083008,1
own-PeachMountian-240420-65.npy,240420,PeachMountian,16:15:00,2909,411,0.309385,15.996000289916992,24.003999710083008,1
own-PeachMountian-240420-66.npy,240420,PeachMountian,16:30:00,5920,411,0.152027,15.996000289916992,24.003999710083008,1
own-PeachMountian-240420-70.npy,240420,PeachMountian,17:30:00,5908,411,0.152336,15.996000289916992,24.003999710083008,1
own-PeachMountian-240420-71.npy,240420,PeachMountian,17:45:00,8921,411,0.100886,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240422-65.npy,240422,SkylineHighSchool,16:15:00,8876,411,0.101397,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240422-69.npy,240422,SkylineHighSchool,17:15:00,8876,411,0.101397,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240422-63.npy,240422,MarquetteSeniorHig,15:45:00,8982,411,0.1002,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240422-65.npy,240422,MarquetteSeniorHig,16:15:00,8982,411,0.1002,15.996000289916992,24.003999710083008,1
own-MarquetteSeniorHig-240422-70.npy,240422,MarquetteSeniorHig,17:30:00,8982,411,0.1002,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240423-71.npy,240423,SkylineHighSchool,17:45:00,8995,411,0.100056,15.996000289916992,24.003999710083008,1
own-SkylineHighSchool-240425-68.npy,240425,SkylineHighSchool,17:00:00,8980,411,0.100223,15.996000289916992,24.003999710083008,1
