file_name,date,location,type,event_start_time,event_end_time,box_start_time,box_end_time,box_start_col,box_end_col,time_source,review_status,uncertain,clipped
win-Australia-ASSA-20210119-022957.npy,20210119,Australia-ASSA,III,02:42:00,02:42:00,02:42:10,02:42:45,1466,1536,zero_width_default,,False,False
win-Australia-ASSA-20210127-042957.npy,20210127,Australia-ASSA,III,04:32:00,04:32:00,04:32:10,04:32:45,266,336,zero_width_default,,False,False
win-Australia-ASSA-20210419-064459.npy,20210419,Australia-ASSA,III,06:55:00,06:57:00,06:55:00,06:57:00,2404,2884,catalog,,False,False
win-Australia-ASSA-20210419-233000.npy,20210419,Australia-ASSA,II,23:39:00,23:42:00,23:39:00,23:42:00,2160,2880,catalog,,False,False
win-Australia-ASSA-20210419-233000.npy,20210419,Australia-ASSA,III,23:39:00,23:43:00,23:39:19,23:42:34,2236,3016,manual,usable,False,False
win-Australia-ASSA-20210420-014459.npy,20210420,Australia-ASSA,III,01:47:00,01:48:00,01:47:00,01:48:00,484,724,catalog,,False,False
win-Australia-ASSA-20210420-232959.npy,20210420,Australia-ASSA,III,23:39:00,23:39:00,23:39:10,23:39:45,2204,2344,zero_width_default,,False,False
win-Australia-ASSA-20210421-213000.npy,20210421,Australia-ASSA,III,21:31:00,21:31:00,21:31:10,21:31:45,280,420,zero_width_default,,False,False
win-Australia-ASSA-20210421-233000.npy,20210421,Australia-ASSA,III,23:36:00,23:37:00,23:36:00,23:37:00,1440,1680,catalog,,False,False
win-Australia-ASSA-20210423-002959.npy,20210423,Australia-ASSA,III,00:34:00,00:34:00,00:34:10,00:34:45,1004,1144,zero_width_default,,False,False
win-Australia-ASSA-20210423-011459.npy,20210423,Australia-ASSA,III,01:29:00,01:29:00,01:29:10,01:29:45,3404,3544,zero_width_default,,False,False
win-Australia-ASSA-20210424-011459.npy,20210424,Australia-ASSA,III,01:28:00,01:29:00,01:28:00,01:29:00,3124,3364,catalog,,False,False
win-Australia-ASSA-20210429-031500.npy,20210429,Australia-ASSA,III,03:17:00,03:18:00,03:17:00,03:18:00,480,720,catalog,,False,False
win-Australia-ASSA-20210505-065959.npy,20210505,Australia-ASSA,III,07:02:00,07:02:00,07:02:10,07:02:45,524,664,zero_width_default,,False,False
win-Australia-ASSA-20210506-040000.npy,20210506,Australia-ASSA,III,04:09:00,04:09:00,04:09:10,04:09:45,2200,2340,zero_width_default,,False,False
win-Australia-ASSA-20210506-044500.npy,20210506,Australia-ASSA,III,04:53:00,04:54:00,04:53:00,04:54:00,1920,2160,catalog,,False,False
win-Australia-ASSA-20210506-051459.npy,20210506,Australia-ASSA,III,05:21:00,05:29:00,05:21:00,05:29:00,1444,3364,catalog,,False,False
win-Australia-ASSA-20210506-052959.npy,20210506,Australia-ASSA,III,05:34:00,05:34:00,05:34:10,05:34:45,1004,1144,zero_width_default,,False,False
